State,Year,Quarter,District_name,Transaction_count,Transaction_amount
Andhra Pradesh,2022,3,Krishna District,71051144,153770559025.69125
Andhra Pradesh,2022,4,East Godavari District,68016055,136531110139.86256
Andhra Pradesh,2022,4,Srikakulam District,23693779,47726411107.88628
Andhra Pradesh,2022,4,Spsr Nellore District,42582064,92085916180.6851
Andhra Pradesh,2022,4,Vizianagaram District,22205190,44467386404.34758
Andhra Pradesh,2022,4,Visakhapatnam District,103790055,185306149744.73108
Andhra Pradesh,2022,4,Prakasam District,37211077,88105031866.36835
Andhra Pradesh,2022,4,Anantapur District,48299601,101533878537.23433
Andhra Pradesh,2022,4,Ysr District,35201596,87360426792.81667
Andhra Pradesh,2022,4,West Godavari District,47919930,105335724990.59325
Andhra Pradesh,2022,4,Kurnool District,43524766,94667441029.08345
Andhra Pradesh,2022,4,Chittoor District,70322534,136840859888.18155
Andhra Pradesh,2022,4,Guntur District,70723763,146938735166.52365
Andhra Pradesh,2022,4,Krishna District,76526667,157826011193.35443
Andhra Pradesh,2023,1,East Godavari District,115196449,223454724672.0
Andhra Pradesh,2023,1,Srikakulam District,42209999,86486032409.0
Andhra Pradesh,2023,1,Spsr Nellore District,71318689,143967164643.0
Andhra Pradesh,2023,1,Vizianagaram District,38838861,76472384525.0
Andhra Pradesh,2023,1,Visakhapatnam District,164358781,277211090180.0
Andhra Pradesh,2023,1,Prakasam District,63671149,141672839638.0
Andhra Pradesh,2023,1,Anantapur District,82127373,162287796625.0
Andhra Pradesh,2023,1,Ysr District,59768512,140117633668.0
Andhra Pradesh,2023,1,West Godavari District,79094558,165941144654.0
Andhra Pradesh,2023,1,Kurnool District,72405172,149100361797.0
Andhra Pradesh,2023,1,Chittoor District,120192355,218037027226.0
Andhra Pradesh,2023,1,Guntur District,114246185,226244225817.0
Andhra Pradesh,2023,1,Krishna District,122104381,238058890676.0
Andhra Pradesh,2023,2,East Godavari District,131243375,245134717109.0
Andhra Pradesh,2023,2,Srikakulam District,47633204,93082175904.0
Andhra Pradesh,2023,2,Spsr Nellore District,82056071,165181391414.0
Andhra Pradesh,2023,2,Vizianagaram District,43625851,82671020353.0
Andhra Pradesh,2023,2,Visakhapatnam District,184918179,303874597259.0
Andhra Pradesh,2023,2,Prakasam District,73598725,158428689659.0
Andhra Pradesh,2023,2,Anantapur District,91695174,180050369328.0
Andhra Pradesh,2023,2,Ysr District,66809788,156231915019.0
Andhra Pradesh,2023,2,West Godavari District,92533269,187699526244.0
Andhra Pradesh,2023,2,Kurnool District,81475907,166991990104.0
Andhra Pradesh,2023,2,Chittoor District,136283483,245550525910.0
Andhra Pradesh,2023,2,Guntur District,132035450,254140764680.0
Andhra Pradesh,2023,2,Krishna District,141748488,267001403933.0
Andhra Pradesh,2023,3,East Godavari District,148701666,260414286361.0
Andhra Pradesh,2023,3,Srikakulam District,51382393,91818203167.0
Andhra Pradesh,2023,3,Spsr Nellore District,93875073,176593750929.0
Andhra Pradesh,2023,3,Vizianagaram District,47856766,83289704541.0
Andhra Pradesh,2023,3,Visakhapatnam District,209884966,328927220951.0
Andhra Pradesh,2023,3,Prakasam District,84447202,171207298619.0
Andhra Pradesh,2023,3,Anantapur District,104539628,192477441164.0
Andhra Pradesh,2023,3,Ysr District,76091693,168218516193.0
Andhra Pradesh,2023,3,West Godavari District,102962058,191891823401.0
Andhra Pradesh,2023,3,Kurnool District,92890445,172979053545.0
Andhra Pradesh,2023,3,Chittoor District,152863845,265404757144.0
Andhra Pradesh,2023,3,Guntur District,150246761,270651818044.0
Andhra Pradesh,2023,3,Krishna District,159421907,279540224039.0
Andhra Pradesh,2023,4,East Godavari District,162793144,282329255747.0
Andhra Pradesh,2023,4,Srikakulam District,56291337,97021746702.0
Andhra Pradesh,2023,4,Spsr Nellore District,97721962,179306028468.0
Andhra Pradesh,2023,4,Vizianagaram District,53248760,90289502507.0
Andhra Pradesh,2023,4,Visakhapatnam District,223584765,344512874812.0
Andhra Pradesh,2023,4,Prakasam District,89721677,174929737360.0
Andhra Pradesh,2023,4,Anantapur District,113698752,203367177888.0
Andhra Pradesh,2023,4,Ysr District,83729195,176644897379.0
Andhra Pradesh,2023,4,West Godavari District,114825704,209237892746.0
Andhra Pradesh,2023,4,Kurnool District,103816175,190597527675.0
